,branch,PT,TY,LAB,lambda3,L2-NORM,U(1),U(2),U(3),U(4),U(5),lambda4
1,4,1,0,0,9.9999997474e-06,0.48441096442,0.31488094848,0.14326970699,0.2669254339,0.19181883891,0.081178466618,0.0
2,4,2,0,0,3.1594100026e-05,0.48441086646,0.31488087269,0.14326970699,0.26692533491,0.19181883891,0.081178499764,-0.0019998685878
3,4,3,0,0,4.7390573726e-05,0.48441085947,0.31488086729,0.14326970699,0.26692532785,0.19181883891,0.081178502127,-0.0034997845705
4,4,4,0,0,7.898521387e-05,0.48441084551,0.31488085648,0.14326970699,0.26692531373,0.19181883891,0.081178506853,-0.0064996165177
5,4,5,0,0,0.00014218148192,0.48441081753,0.31488083484,0.14326970699,0.26692528546,0.19181883891,0.081178516318,-0.012499280338
6,4,6,0,0,0.00024752849949,0.48441077094,0.3148807988,0.14326970699,0.26692523838,0.1918188389,0.081178532084,-0.022498719826
7,4,7,0,0,0.00035290079626,0.48441072431,0.31488076272,0.14326970699,0.26692519126,0.1918188389,0.081178547861,-0.032498159045
8,4,8,0,0,0.00045829816899,0.48441067768,0.31488072665,0.14326970699,0.26692514414,0.1918188389,0.081178563637,-0.042497597996
9,4,9,0,0,0.00056372068541,0.48441063105,0.31488069058,0.14326970699,0.26692509701,0.1918188389,0.081178579415,-0.05249703668
10,4,10,0,0,0.00066916844984,0.48441058439,0.31488065448,0.14326970699,0.26692504986,0.19181883889,0.081178595202,-0.062496475094
11,4,11,0,0,0.00077464126177,0.48441053775,0.3148806184,0.14326970699,0.26692500273,0.19181883889,0.081178610984,-0.072495913241
12,4,12,0,0,0.00088013915129,0.48441049111,0.31488058232,0.14326970699,0.2669249556,0.19181883889,0.081178626764,-0.082495351121
13,4,13,0,0,0.00098566223059,0.48441044446,0.31488054623,0.14326970699,0.26692490846,0.19181883889,0.081178642546,-0.092494788731
14,4,14,0,0,0.0010912105519,0.4844103978,0.31488051013,0.143269707,0.26692486131,0.19181883888,0.081178658334,-0.10249422607
15,4,15,0,0,0.0011967840636,0.48441035114,0.31488047403,0.143269707,0.26692481415,0.19181883888,0.081178674124,-0.11249366314
16,4,16,0,0,0.001302382641,0.48441030448,0.31488043794,0.143269707,0.266924767,0.19181883888,0.081178689909,-0.12249309995
17,4,17,0,0,0.0014080065232,0.48441025781,0.31488040183,0.143269707,0.26692471984,0.19181883888,0.081178705701,-0.13249253648
18,4,18,0,0,0.0015136556317,0.48441021113,0.31488036572,0.143269707,0.26692467266,0.19181883887,0.081178721496,-0.14249197275
19,4,19,0,0,0.0016193300156,0.48441016443,0.31488032959,0.143269707,0.26692462548,0.19181883887,0.081178737295,-0.15249140874
