,branch,PT,TY,LAB,lambda3,L2-NORM,U(1),U(2),U(3),U(4),U(5),lambda4
1,3,1,0,0,9.9999997474e-06,1.8371637831,0.63536377323,0.13468308261,1.7024783321,0.23307707292,0.023750013748,0.0
2,3,2,0,0,2.2584987401e-05,1.8371637956,0.63536377578,0.13468308237,1.7024783445,0.23307707422,0.023750013631,-0.0019999602308
3,3,3,0,0,3.5170525973e-05,1.8371638084,0.63536377836,0.13468308212,1.7024783572,0.23307707554,0.023750013512,-0.0039999204513
4,3,4,0,0,6.0343484955e-05,1.8371638339,0.63536378352,0.13468308162,1.7024783824,0.23307707818,0.023750013274,-0.0079998408821
5,3,5,0,0,0.0001106969604,1.8371638848,0.63536379385,0.13468308062,1.7024784329,0.23307708347,0.023750012799,-0.015999681695
6,3,6,0,0,0.00017365297591,1.8371639486,0.63536380676,0.13468307938,1.7024784961,0.23307709008,0.023750012204,-0.02599948262
7,3,7,0,0,0.00023662474194,1.8371640123,0.63536381968,0.13468307813,1.7024785593,0.2330770967,0.02375001161,-0.035999283446
8,3,8,0,0,0.00029961226666,1.8371640761,0.63536383259,0.13468307689,1.7024786224,0.23307710331,0.023750011015,-0.045999084172
9,3,9,0,0,0.00036261555284,1.8371641399,0.63536384552,0.13468307564,1.7024786857,0.23307710993,0.02375001042,-0.055998884797
10,3,10,0,0,0.00042563460954,1.8371642037,0.63536385844,0.13468307439,1.7024787489,0.23307711654,0.023750009825,-0.065998685322
11,3,11,0,0,0.00048866943643,1.8371642675,0.63536387137,0.13468307315,1.7024788121,0.23307712316,0.02375000923,-0.075998485747
12,3,12,0,0,0.00055172004534,1.8371643313,0.6353638843,0.1346830719,1.7024788754,0.23307712978,0.023750008634,-0.085998286072
13,3,13,0,0,0.00061478644167,1.8371643951,0.63536389724,0.13468307065,1.7024789386,0.23307713641,0.023750008039,-0.095998086296
14,3,14,0,0,0.00067786863284,1.837164459,0.63536391017,0.1346830694,1.7024790019,0.23307714303,0.023750007443,-0.10599788642
15,3,15,0,0,0.00074096661773,1.8371645229,0.63536392311,0.13468306816,1.7024790652,0.23307714966,0.023750006848,-0.11599768644
16,3,16,0,0,0.00080408040842,1.8371645868,0.63536393606,0.13468306691,1.7024791285,0.23307715628,0.023750006252,-0.12599748637
17,3,17,0,0,0.00086721001103,1.8371646507,0.635363949,0.13468306566,1.7024791918,0.23307716291,0.023750005656,-0.13599728619
18,3,18,0,0,0.00093035542997,1.8371647146,0.63536396195,0.13468306441,1.7024792552,0.23307716954,0.02375000506,-0.14599708591
19,3,19,0,0,0.0009935166659,1.8371647785,0.63536397491,0.13468306316,1.7024793185,0.23307717617,0.023750004463,-0.15599688553
20,3,20,0,0,0.0010566937331,1.8371648425,0.63536398786,0.13468306191,1.7024793819,0.23307718281,0.023750003867,-0.16599668505
21,3,21,0,0,0.0011198866343,1.8371649064,0.63536400082,0.13468306066,1.7024794453,0.23307718944,0.02375000327,-0.17599648446
22,3,22,0,0,0.0011830953752,1.8371649704,0.63536401379,0.13468305941,1.7024795087,0.23307719608,0.023750002674,-0.18599628378
23,3,23,0,0,0.0012463199634,1.8371650344,0.63536402675,0.13468305816,1.7024795721,0.23307720272,0.023750002077,-0.195996083
24,3,24,0,0,0.0013095604018,1.8371650984,0.63536403972,0.13468305691,1.7024796355,0.23307720936,0.02375000148,-0.20599588211
25,3,25,0,0,0.001372816699,1.8371651624,0.63536405269,0.13468305566,1.702479699,0.233077216,0.023750000883,-0.21599568113
