,branch,PT,TY,LAB,V_plc,L2-NORM,U(1),U(2),U(3),U(4),U(5),lambda3
1,4,1,0,0,0.019243637322,0.48450172474,0.31495114192,0.14326970587,0.26701715862,0.19181884376,0.081147775236,0.10000000149
2,4,2,0,0,0.019193494933,0.48450324914,0.31495232053,0.14326970585,0.26701869933,0.19181884384,0.081147260046,0.10199908835
3,4,3,0,0,0.019155879742,0.48450445778,0.314953255,0.14326970584,0.26701992091,0.1918188439,0.081146851576,0.10349839649
4,4,4,0,0,0.019080650084,0.48450687801,0.3149551262,0.14326970581,0.26702236707,0.19181884403,0.081146033657,0.10649701305
5,4,5,0,0,0.018967807401,0.48451051581,0.31495793871,0.14326970576,0.26702604385,0.19181884423,0.081144804305,0.11099493859
6,4,6,0,0,0.018798547447,0.48451598939,0.3149621704,0.14326970569,0.26703157613,0.19181884452,0.081142954679,0.11774182847
7,4,7,0,0,0.018547801044,0.48452413544,0.31496846792,0.14326970559,0.26703980962,0.19181884496,0.081140202212,0.12773722444
8,4,8,0,0,0.018297065623,0.4845323256,0.31497479922,0.14326970549,0.26704808783,0.19181884539,0.081137435119,0.1377326247
9,4,9,0,0,0.01804634133,0.48454055979,0.31498116422,0.14326970539,0.26705641065,0.19181884584,0.081134653437,0.14772802934
10,4,10,0,0,0.017795628316,0.48454883788,0.31498756283,0.14326970529,0.26706477796,0.19181884628,0.081131857209,0.15772343845
11,4,11,0,0,0.017544926735,0.48455715973,0.3149939949,0.14326970518,0.26707318961,0.19181884672,0.081129046495,0.16771885208
12,4,12,0,0,0.01729423673,0.48456552525,0.31500046039,0.14326970508,0.26708164554,0.19181884717,0.08112622132,0.17771427032
13,4,13,0,0,0.017043558458,0.48457393427,0.31500695915,0.14326970498,0.26709014555,0.19181884762,0.081123381754,0.18770969324
14,4,14,0,0,0.016792892065,0.48458238667,0.31501349108,0.14326970487,0.26709868954,0.19181884807,0.081120527839,0.19770512092
15,4,15,0,0,0.016542237706,0.48459088228,0.31502005606,0.14326970477,0.26710727733,0.19181884853,0.081117659634,0.20770055344
16,4,16,0,0,0.016291595529,0.48459942098,0.31502665396,0.14326970466,0.26711590879,0.19181884899,0.081114777192,0.21769599085
17,4,17,0,0,0.01604096568,0.48460800263,0.31503328469,0.14326970455,0.26712458381,0.19181884945,0.081111880557,0.22769143323
