,branch,PT,TY,LAB,V_plc,L2-NORM,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
1,1,-1,9,1,0.0,4.1598418504,0.086289793253,4.1371860504,0.4248880744,0.0,0.086289793253,4.1371860504,0.4248880744,0.0,4.0
2,1,-2,0,0,0.00018388322094,4.1598373085,0.086289848019,4.137181544,0.42488746925,7.8481479495e-05,0.086289848019,4.137181544,0.42488746925,7.8481479495e-05,4.0
3,1,-3,0,0,0.00027569226574,4.1598313382,0.08628990835,4.1371756089,0.42488678586,0.00011766573444,0.08628990835,4.1371756089,0.42488678586,0.00011766573444,4.0
4,1,-4,0,0,0.0003673447339,4.1598229987,0.086289992622,4.1371673188,0.42488583129,0.00015678327494,0.086289992622,4.1371673188,0.42488583129,0.00015678327494,4.0
5,1,-5,0,0,0.00045879021892,4.1598123088,0.086290100645,4.1371566921,0.42488460768,0.00019581262402,0.086290100645,4.1371566921,0.42488460768,0.00019581262402,4.0
6,1,-6,0,0,0.00054997979582,4.1597992922,0.086290232183,4.1371437524,0.42488311772,0.00023473293617,0.086290232183,4.1371437524,0.42488311772,0.00023473293617,4.0
7,1,-7,0,0,0.00064086633316,4.1597839771,0.086290386949,4.1371285279,0.42488136466,0.00027352413038,0.086290386949,4.1371285279,0.42488136466,0.00027352413038,4.0
8,1,-8,0,0,0.00073140476959,4.1597663963,0.086290564613,4.1371110511,0.42487935222,0.00031216700801,0.086290564613,4.1371110511,0.42487935222,0.00031216700801,4.0
9,1,-9,0,0,0.00082155235123,4.1597465864,0.086290764808,4.1370913583,0.42487708459,0.00035064335394,0.086290764808,4.1370913583,0.42487708459,0.00035064335394,4.0
10,1,-10,0,0,0.00091126882734,4.1597245877,0.086290987126,4.1370694897,0.42487456637,0.00038893602,0.086290987126,4.1370694897,0.42487456637,0.00038893602,4.0
11,1,-11,0,0,0.0010005166033,4.1597004436,0.08629123113,4.1370454884,0.42487180251,0.00042702899012,0.08629123113,4.1370454884,0.42487180251,0.00042702899012,4.0
12,1,-12,0,0,0.0010892608511,4.1596742003,0.086291496356,4.1370194003,0.42486879831,0.00046490742747,0.086291496356,4.1370194003,0.42486879831,0.00046490742747,4.0
13,1,-13,0,0,0.0011774695788,4.1596459063,0.086291782312,4.1369912737,0.42486555929,0.000502557704,0.086291782312,4.1369912737,0.42486555929,0.000502557704,4.0
14,1,-14,0,0,0.0012651136612,4.1596156122,0.086292088492,4.1369611587,0.42486209123,0.00053996741355,0.086292088492,4.1369611587,0.42486209123,0.00053996741355,4.0
15,1,-15,0,0,0.0013521668352,4.15958337,0.086292414371,4.1369291072,0.42485840006,0.00057712536981,0.086292414371,4.1369291072,0.42485840006,0.00057712536981,4.0
16,1,-16,0,0,0.0014386056631,4.1595492327,0.086292759413,4.1368951718,0.42485449186,0.0006140215907,0.086292759413,4.1368951718,0.42485449186,0.0006140215907,4.0
17,1,-17,0,0,0.0015244094684,4.1595132544,0.086293123075,4.1368594064,0.42485037279,0.00065064727095,0.086293123075,4.1368594064,0.42485037279,0.00065064727095,4.0
18,1,-18,0,0,0.0016095602479,4.1594754895,0.086293504808,4.1368218648,0.42484604905,0.00068699474463,0.086293504808,4.1368218648,0.42484604905,0.00068699474463,4.0
19,1,-19,0,0,0.0016940425644,4.1594359924,0.086293904063,4.1367826014,0.42484152689,0.00072305743949,0.086293904063,4.1367826014,0.42484152689,0.00072305743949,4.0
20,1,-20,0,0,0.0017778434248,4.1593948177,0.086294320292,4.1367416703,0.4248368125,0.00075882982481,0.086294320292,4.1367416703,0.4248368125,0.00075882982481,4.0
21,1,-21,0,0,0.001860952146,4.1593520194,0.08629475295,4.1366991252,0.42483191208,0.00079430735438,0.08629475295,4.1366991252,0.42483191208,0.00079430735438,4.0
22,1,-22,0,0,0.0019433602138,4.159307651,0.086295201498,4.1366550193,0.42482683171,0.00082948640624,0.086295201498,4.1366550193,0.42482683171,0.00082948640624,4.0
23,1,-23,0,0,0.0020250611365,4.159261765,0.086295665407,4.1366094048,0.42482157742,0.00086436422032,0.086295665407,4.1366094048,0.42482157742,0.00086436422032,4.0
24,1,-24,0,0,0.0021060502966,4.1592144133,0.086296144153,4.1365623334,0.42481615511,0.00089893883532,0.086296144153,4.1365623334,0.42481615511,0.00089893883532,4.0
25,1,-25,0,0,0.0021863248037,4.1591656466,0.086296637228,4.1365138552,0.42481057058,0.00093320902576,0.086296637228,4.1365138552,0.42481057058,0.00093320902576,4.0
