,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
1,-5,1,0,0,0.058704621958,3.6190711111,45.640978981,0.093285559484,3.6006960048,0.35102088021,0.027315461026,0.093285559484,3.6006960048,0.35102088021,0.027315461026,0.0
2,-5,-2,0,0,0.058704620567,3.6190711325,45.640983785,0.093290208218,3.6007060404,0.35102959888,0.027316902434,0.093280910535,3.600686009,0.35101216443,0.027314018195,4.0
3,-5,-3,0,0,0.058704620208,3.6190711005,45.641009404,0.093297183289,3.6007210255,0.3510426596,0.027319065851,0.093273939008,3.6006709467,0.35099907327,0.02731185523,4.0
4,-5,-4,0,0,0.058704619088,3.6190710012,45.641089005,0.093307648768,3.6007434416,0.35106222568,0.027322311349,0.093263485063,3.6006482911,0.35097941234,0.027308611209,4.0
5,-5,-5,0,0,0.058704616105,3.6190707365,45.641301044,0.093323352997,3.6007769251,0.35109151953,0.027327180259,0.093247811314,3.6006141691,0.35094986643,0.027303746168,4.0
6,-5,6,0,0,0.058704608701,3.6190700793,45.641827499,0.093346923648,3.6008268342,0.35113533466,0.027334484928,0.093224316142,3.600562674,0.35090542568,0.027296451098,3.0
7,-5,7,0,0,0.058704591004,3.6190685086,45.643085889,0.093382306387,3.6009009833,0.35120077133,0.027345445293,0.093189110088,3.6004847318,0.35083849321,0.02728551405,3.0
8,-5,8,0,0,0.058704565409,3.6190662363,45.644906266,0.093417721821,3.600974271,0.35126586109,0.027356407641,0.093153955204,3.6004059594,0.35077124071,0.027274585098,3.0
9,-5,9,0,0,0.05870453193,3.6190632636,45.64728787,0.09345316261,3.6010466907,0.35133059758,0.027367370054,0.093118856975,3.6003263642,0.35070367498,0.02726366537,3.0
10,-5,10,0,0,0.058704490588,3.6190595917,45.650229725,0.093488626208,3.6011182311,0.35139497952,0.027378333299,0.093083808833,3.600245962,0.35063580337,0.027252756472,3.0
11,-5,11,0,0,0.058704441407,3.6190552222,45.653730632,0.0935241064,3.6011889014,0.35145899593,0.027389294247,0.093048826517,3.6001647445,0.35056762941,0.027241859511,3.0
12,-5,12,0,0,0.058704384418,3.6190501569,45.657789166,0.093559602306,3.6012586917,0.35152264541,0.027400254044,0.093013903333,3.6000827273,0.3504991603,0.027230975731,3.0
13,-5,13,0,0,0.058704319653,3.619044398,45.662403684,0.093595113772,3.601327594,0.35158592008,0.027411208108,0.092979055485,3.5999999107,0.35043040179,0.027220105006,3.0
