,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(4),PAR(5),PAR(6),PAR(7),PAR(8),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(80)
1,-1,-1,9,1,0.5,1.2583507562,59.7655,1.0,0.6630632,1.18162,0.21262656419,0.1415867,1.0,0.039095010429,0.33980191821,0.0014533522055,0.046825653382,5.0
2,-1,-2,0,0,0.500000796,1.2583503754,59.765453058,1.0,0.66306289477,1.1816203673,0.21262719621,0.14158678829,1.0,0.039095010613,0.33980173957,0.0014533113129,0.046825718341,5.0
3,-1,-3,0,0,0.50000746376,1.2583475106,59.765168815,1.0,0.66306165677,1.1816127784,0.21262657775,0.1415873268,1.0,0.039095024746,0.33980047886,0.0014533304093,0.046826212312,5.0
4,-1,-4,0,0,0.5000086503,1.2583470007,59.765118236,1.0,0.66306143727,1.1816111538,0.21262754613,0.14158741264,1.0,0.039094425674,0.33980513172,0.0014517762504,0.046825095135,5.0
5,-1,-5,0,0,0.50001043223,1.2583462351,59.765042276,1.0,0.66306110642,1.1816091257,0.21262738103,0.14158755665,1.0,0.039094428833,0.33980479184,0.0014517818792,0.046825228001,5.0
6,-1,-6,0,0,0.50001310184,1.2583450882,59.764928478,1.0,0.66306061075,1.1816060872,0.21262713369,0.14158777239,1.0,0.039094433566,0.33980428265,0.0014517903122,0.046825427055,5.0
7,-1,-7,0,0,0.50001844107,1.2583427943,59.764700887,1.0,0.6630596194,1.1816001442,0.21262653225,0.14158790572,1.0,0.039094932666,0.33980323581,0.0014519393838,0.046826628518,5.0
8,-1,-8,0,0,0.50002644992,1.2583393534,59.764359514,1.0,0.66305813237,1.1815910307,0.21262579013,0.14158855162,1.0,0.039094944748,0.33980172805,0.0014519631273,0.046827222659,5.0
9,-1,-9,0,0,0.50003846323,1.2583341923,59.763847487,1.0,0.66305590179,1.1815773606,0.21262467703,0.14158952045,1.0,0.039094962883,0.33979946643,0.0014519987455,0.046828113885,5.0
10,-1,-10,0,0,0.50006248996,1.2583238702,59.762823546,1.0,0.66305144051,1.1815499182,0.21262258668,0.1415904398,1.0,0.039094653448,0.33978972617,0.001451695493,0.046829322093,5.0
11,-1,-11,0,0,0.50011054384,1.2583032271,59.760776123,1.0,0.66304251747,1.1814952316,0.21261813744,0.14159433363,1.0,0.03909474705,0.33978061088,0.0014518406591,0.046832923561,5.0
12,-1,-12,0,0,0.50020665326,1.2582619449,59.756683109,1.0,0.66302466951,1.1813858696,0.21260924391,0.14160211959,1.0,0.039094934962,0.3397623816,0.0014521311658,0.046840127395,5.0
13,-1,-13,0,0,0.50035082156,1.258200032,59.750548168,1.0,0.66299789285,1.1812222835,0.21259591463,0.14161504095,1.0,0.039096889547,0.33974052021,0.0014526421042,0.046853130336,5.0
14,-1,-14,0,0,0.50056708329,1.2581071858,59.741356064,1.0,0.66295771722,1.180976343,0.21257595861,0.1416324809,1.0,0.039097162394,0.3396992783,0.001453293983,0.046869098579,5.0
