,branch,PT,TY,LAB,V_plc,L2-NORM,V_pkc,PAR(4),PAR(5),PAR(6),PAR(7),PAR(8),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(80)
1,1,-1,9,1,1.0000000134e-10,4.0508562999,0.0,1.0,0.080529600382,3.8610110283,0.70394998789,1.0000000134e-10,1.0,0.080529600382,3.8610110283,0.70394998789,1.0000000134e-10,5.0
2,1,-2,0,0,2.1398619777e-06,4.0508566693,0.0,1.0,0.080529583778,3.8610112862,0.70395070077,8.1292949041e-07,1.0,0.080529583778,3.8610112862,0.70395070077,8.1292949041e-07,5.0
3,1,-3,0,0,4.0700389774e-06,4.0508566629,0.0,1.0,0.080529583869,3.8610112797,0.70395069983,1.5461945806e-06,1.0,0.080529583869,3.8610112797,0.70395069983,1.5461945806e-06,5.0
4,1,-4,0,0,7.8111536729e-06,4.0508566389,0.0,1.0,0.080529584211,3.8610112551,0.70395069629,2.9674104587e-06,1.0,0.080529584211,3.8610112551,0.70395069629,2.9674104587e-06,5.0
5,1,-5,0,0,1.52893009e-05,4.0508565459,0.0,1.0,0.080529585535,3.86101116,0.70395068258,5.808231349e-06,1.0,0.080529585535,3.86101116,0.70395068258,5.808231349e-06,5.0
6,1,-6,0,0,3.0243326328e-05,4.0508561793,0.0,1.0,0.080529590753,3.8610107851,0.70395062857,1.1488770001e-05,1.0,0.080529590753,3.8610107851,0.70395062857,1.1488770001e-05,5.0
7,1,-7,0,0,6.013317298e-05,4.0508547252,0.0,1.0,0.080529611451,3.8610092981,0.70395041431,2.2841971753e-05,1.0,0.080529611451,3.8610092981,0.70395041431,2.2841971753e-05,5.0
8,1,-8,0,0,0.00011976783567,4.050848952,0.0,1.0,0.080529693633,3.8610033942,0.7039495636,4.5489489393e-05,1.0,0.080529693633,3.8610033942,0.7039495636,4.5489489393e-05,5.0
9,1,-9,0,0,0.00023742601427,4.0508263475,0.0,1.0,0.080530015406,3.860980278,0.70394623269,9.0158025733e-05,1.0,0.080530015406,3.860980278,0.70394623269,9.0158025733e-05,5.0
10,1,-10,0,0,0.00040764356338,4.0507673349,0.0,1.0,0.080530855478,3.8609199297,0.70393753648,0.00015474700041,1.0,0.080530855478,3.8609199297,0.70393753648,0.00015474700041,5.0
11,1,-11,0,0,0.00056782280156,4.0506834298,0.0,1.0,0.080532049978,3.8608341255,0.70392517122,0.00021549184435,1.0,0.080532049978,3.8608341255,0.70392517122,0.00021549184435,5.0
12,1,-12,0,0,0.00071723454609,4.050580404,0.0,1.0,0.080533516809,3.8607287678,0.70390998667,0.00027212371096,1.0,0.080533516809,3.8607287678,0.70390998667,0.00027212371096,5.0
13,1,-13,0,0,0.00085639041313,4.0504629835,0.0,1.0,0.080535188743,3.8606086898,0.7038926787,0.0003248434183,1.0,0.080535188743,3.8606086898,0.7038926787,0.0003248434183,5.0
14,1,-14,0,0,0.0010481675929,4.0502672785,0.0,1.0,0.080537975741,3.8604085557,0.70386382701,0.00039746107159,1.0,0.080537975741,3.8604085557,0.70386382701,0.00039746107159,5.0
15,1,-15,0,0,0.0013046569298,4.0499442446,0.0,1.0,0.080542577046,3.8600782118,0.70381619178,0.00049451705584,1.0,0.080542577046,3.8600782118,0.70381619178,0.00049451705584,5.0
16,1,-16,0,0,0.0015323225564,4.0495988447,0.0,1.0,0.080547498365,3.8597249968,0.70376524169,0.0005806069717,1.0,0.080547498365,3.8597249968,0.70376524169,0.0005806069717,5.0
17,1,-17,0,0,0.0017381849255,4.0492390866,0.0,1.0,0.080552625838,3.8593570999,0.70371215522,0.00065840717717,1.0,0.080552625838,3.8593570999,0.70371215522,0.00065840717717,5.0
18,1,-18,0,0,0.0020162003937,4.0486818185,0.0,1.0,0.080560571509,3.8587872268,0.70362988678,0.00076341239762,1.0,0.080560571509,3.8587872268,0.70362988678,0.00076341239762,5.0
19,1,-19,0,0,0.0023830289218,4.0478210925,0.0,1.0,0.080572851544,3.8579070371,0.70350273088,0.00090185995078,1.0,0.080572851544,3.8579070371,0.70350273088,0.00090185995078,5.0
20,1,-20,0,0,0.0027070632466,4.04694218,0.0,1.0,0.080585400553,3.8570082563,0.70337277725,0.0010240698097,1.0,0.080585400553,3.8570082563,0.70337277725,0.0010240698097,5.0
21,1,-21,0,0,0.0031373408323,4.0456032436,0.0,1.0,0.080604536206,3.8556390654,0.70317458998,0.0011862410453,1.0,0.080604536206,3.8556390654,0.70317458998,0.0011862410453,5.0
22,1,-22,0,0,0.0036971911074,4.0435675924,0.0,1.0,0.08063367187,3.8535574465,0.70287277645,0.0013970968566,1.0,0.08063367187,3.8535574465,0.70287277645,0.0013970968566,5.0
23,1,-23,0,0,0.0041872928463,4.0415128388,0.0,1.0,0.080663133356,3.8514563304,0.70256751869,0.0015815783808,1.0,0.080663133356,3.8514563304,0.70256751869,0.0015815783808,5.0
24,1,-24,0,0,0.004834253203,4.0384097312,0.0,1.0,0.080707726344,3.8482832756,0.70210534813,0.0018250120994,1.0,0.080707726344,3.8482832756,0.70210534813,0.0018250120994,5.0
25,1,-25,0,0,0.0056720453627,4.0337278305,0.0,1.0,0.080775235485,3.8434959994,0.70140537056,0.0021402115794,1.0,0.080775235485,3.8434959994,0.70140537056,0.0021402115794,5.0
26,1,-26,0,0,0.0064030170489,4.0290271185,0.0,1.0,0.080843292844,3.8386896821,0.70069934668,0.0024153081101,1.0,0.080843292844,3.8386896821,0.70069934668,0.0024153081101,5.0
27,1,-27,0,0,0.0070591079645,4.0243148988,0.0,1.0,0.080911796282,3.833871794,0.69998833163,0.0026623908675,1.0,0.080911796282,3.833871794,0.69998833163,0.0026623908675,5.0
28,1,-28,0,0,0.0079415588292,4.0172327781,0.0,1.0,0.081015280241,3.8266312315,0.69891356076,0.0029951249695,1.0,0.081015280241,3.8266312315,0.69891356076,0.0029951249695,5.0
29,1,-29,0,0,0.0089971550204,4.0076213994,0.0,1.0,0.081156741608,3.8168055408,0.69744305012,0.0033940320469,1.0,0.081156741608,3.8168055408,0.69744305012,0.0033940320469,5.0
30,1,-30,0,0,0.0099367907419,3.9979984058,0.0,1.0,0.081299557629,3.8069688066,0.69595695011,0.0037502274899,1.0,0.081299557629,3.8069688066,0.69595695011,0.0037502274899,5.0
31,1,-31,0,0,0.010789903445,3.9883680664,0.0,1.0,0.081443676313,3.7971254008,0.69445579208,0.0040747829967,1.0,0.081443676313,3.7971254008,0.69445579208,0.0040747829967,5.0
32,1,-32,0,0,0.011575063082,3.9787328397,0.0,1.0,0.08158907101,3.7872778436,0.69293984664,0.0043746679577,1.0,0.08158907101,3.7872778436,0.69293984664,0.0043746679577,5.0
33,1,-33,0,0,0.01230488286,3.9690942776,0.0,1.0,0.081735727709,3.7774277269,0.69140925495,0.0046546061575,1.0,0.081735727709,3.7774277269,0.69140925495,0.0046546061575,5.0
34,1,-34,0,0,0.012988398871,3.959453427,0.0,1.0,0.081883639391,3.767576126,0.6898640871,0.0049179745933,1.0,0.081883639391,3.767576126,0.6898640871,0.0049179745933,5.0
35,1,-35,0,0,0.013632350914,3.9498110315,0.0,1.0,0.082032803216,3.7577238051,0.68830437129,0.0051672867848,1.0,0.082032803216,3.7577238051,0.68830437129,0.0051672867848,5.0
36,1,-36,0,0,0.014241927567,3.9401676416,0.0,1.0,0.082183218975,3.7478713306,0.68673010976,0.0054044736587,1.0,0.082183218975,3.7478713306,0.68673010976,0.0054044736587,5.0
37,1,-37,0,0,0.014821226377,3.9305236788,0.0,1.0,0.082334888194,3.7380191361,0.68514128814,0.0056310568731,1.0,0.082334888194,3.7380191361,0.68514128814,0.0056310568731,5.0
38,1,-38,0,0,0.015373552004,3.9208794753,0.0,1.0,0.08248781358,3.7281675637,0.68353788123,0.0058482610024,1.0,0.08248781358,3.7281675637,0.68353788123,0.0058482610024,5.0
39,1,-39,0,0,0.015901617049,3.9112352998,0.0,1.0,0.082641998661,3.7183168896,0.68191985672,0.0060570890398,1.0,0.082641998661,3.7183168896,0.68191985672,0.0060570890398,5.0
40,1,-40,0,0,0.016407681811,3.9015913742,0.0,1.0,0.082797447551,3.7084673415,0.6802871777,0.0062583748898,1.0,0.082797447551,3.7084673415,0.6802871777,0.0062583748898,5.0
41,1,-41,0,0,0.016893654253,3.8919478857,0.0,1.0,0.082954164783,3.6986191111,0.67863980442,0.0064528208825,1.0,0.082954164783,3.6986191111,0.67863980442,0.0064528208825,5.0
42,1,-42,0,0,0.017361163212,3.8823049947,0.0,1.0,0.083112155189,3.688772362,0.67697769556,0.0066410252225,1.0,0.083112155189,3.688772362,0.67697769556,0.0066410252225,5.0
43,1,-43,0,0,0.017811613125,3.8726628412,0.0,1.0,0.083271423821,3.6789272361,0.67530080917,0.0068235024907,1.0,0.083271423821,3.6789272361,0.67530080917,0.0068235024907,5.0
44,1,-44,0,0,0.018246225681,3.8630215489,0.0,1.0,0.083431975878,3.6690838583,0.67360910334,0.0070006992321,1.0,0.083431975878,3.6690838583,0.67360910334,0.0070006992321,5.0
45,1,-45,0,0,0.018666072018,3.8533812288,0.0,1.0,0.083593816668,3.6592423392,0.6719025368,0.0071730059988,1.0,0.083593816668,3.6592423392,0.6719025368,0.0071730059988,5.0
46,1,-46,0,0,0.01907209798,3.8437419813,0.0,1.0,0.083756951561,3.6494027784,0.67018106933,0.0073407667851,1.0,0.083756951561,3.6494027784,0.67018106933,0.0073407667851,5.0
47,1,-47,0,0,0.019465144166,3.8341038988,0.0,1.0,0.083921385965,3.6395652662,0.66844466212,0.0075042865146,1.0,0.083921385965,3.6395652662,0.66844466212,0.0075042865146,5.0
48,1,-48,0,0,0.019845962041,3.8244670666,0.0,1.0,0.084087125299,3.6297298849,0.66669327812,0.0076638370484,1.0,0.084087125299,3.6297298849,0.66669327812,0.0076638370484,5.0
49,1,-49,0,0,0.020215227006,3.8148315644,0.0,1.0,0.084254174976,3.6198967103,0.66492688224,0.0078196620573,1.0,0.084254174976,3.6198967103,0.66492688224,0.0078196620573,5.0
50,1,-50,0,0,0.020573549105,3.8051974675,0.0,1.0,0.084422540383,3.6100658128,0.66314544157,0.00797198101,1.0,0.084422540383,3.6100658128,0.66314544157,0.00797198101,5.0
51,1,-51,0,0,0.020921481874,3.7955648471,0.0,1.0,0.08459222687,3.6002372577,0.66134892565,0.0081209924657,1.0,0.08459222687,3.6002372577,0.66134892565,0.0081209924657,5.0
52,1,-52,0,0,0.021259529708,3.785933771,0.0,1.0,0.084763239738,3.5904111062,0.65953730655,0.0082668768133,1.0,0.084763239738,3.5904111062,0.65953730655,0.0082668768133,5.0
53,1,-53,0,0,0.021588154038,3.7763043046,0.0,1.0,0.084935584227,3.5805874159,0.65771055912,0.0084097985685,1.0,0.084935584227,3.5805874159,0.65771055912,0.0084097985685,5.0
54,1,-54,0,0,0.021907778553,3.7666765108,0.0,1.0,0.085109265508,3.5707662411,0.65586866107,0.0085499083107,1.0,0.085109265508,3.5707662411,0.65586866107,0.0085499083107,5.0
55,1,-55,0,0,0.022218793633,3.7570504505,0.0,1.0,0.085284288675,3.5609476329,0.65401159316,0.0086873443289,1.0,0.085284288675,3.5609476329,0.65401159316,0.0086873443289,5.0
56,1,-56,0,0,0.022521560134,3.7474261832,0.0,1.0,0.085460658736,3.55113164,0.65213933929,0.0088222340259,1.0,0.085460658736,3.55113164,0.65213933929,0.0088222340259,5.0
57,1,-57,0,0,0.022816412646,3.7378037666,0.0,1.0,0.085638380609,3.5413183086,0.65025188665,0.0089546951253,1.0,0.085638380609,3.5413183086,0.65025188665,0.0089546951253,5.0
