,branch,PT,TY,LAB,V_plc,L2-NORM,Kplc,PAR(3),PAR(4),PAR(5),PAR(6),PAR(7),PAR(31),PAR(32),PAR(33),PAR(34),PAR(80)
1,1,-1,9,1,1.0000000134e-10,3.9254855448,0.1099999994,0.0,0.080529600382,3.8610110283,0.70394998789,1.0000000134e-10,0.080529600382,3.8610110283,0.70394998789,1.0000000134e-10,4.0
2,1,-2,0,0,2.2545828715e-06,3.9254859279,0.1099999994,0.0,0.080529583752,3.8610112881,0.70395070105,3.933545836e-07,0.080529583752,3.8610112881,0.70395070105,3.933545836e-07,4.0
3,1,-3,0,0,4.2884653276e-06,3.9254859264,0.1099999994,0.0,0.080529583773,3.8610112866,0.70395070083,7.4820383512e-07,0.080529583773,3.8610112866,0.70395070083,7.4820383512e-07,4.0
4,1,-4,0,0,8.2309308092e-06,3.9254859205,0.1099999994,0.0,0.080529583853,3.8610112808,0.7039507,1.436041459e-06,0.080529583853,3.8610112808,0.7039507,1.436041459e-06,4.0
5,1,-5,0,0,1.6111862083e-05,3.9254858981,0.1099999994,0.0,0.080529584164,3.8610112585,0.70395069679,2.8110188976e-06,0.080529584164,3.8610112585,0.70395069679,2.8110188976e-06,4.0
6,1,-6,0,0,3.1873586819e-05,3.9254858094,0.1099999994,0.0,0.080529585386,3.8610111707,0.70395068413,5.5609498264e-06,0.080529585386,3.8610111707,0.70395068413,5.5609498264e-06,4.0
7,1,-7,0,0,6.3395962834e-05,3.9254854575,0.1099999994,0.0,0.080529590241,3.8610108219,0.70395063388,1.1060625156e-05,0.080529590241,3.8610108219,0.70395063388,1.1060625156e-05,4.0
8,1,-8,0,0,0.00012643218557,3.9254840553,0.1099999994,0.0,0.080529609583,3.8610094324,0.70395043365,2.2058493746e-05,0.080529609583,3.8610094324,0.70395043365,2.2058493746e-05,4.0
9,1,-9,0,0,0.00025243670739,3.925478461,0.1099999994,0.0,0.080529686753,3.8610038885,0.70394963482,4.4042428396e-05,0.080529686753,3.8610038885,0.70394963482,4.4042428396e-05,4.0
10,1,-10,0,0,0.00050366949241,3.9254562003,0.1099999994,0.0,0.080529993825,3.8609818284,0.7039464561,8.7875245731e-05,0.080529993825,3.8609818284,0.7039464561,8.7875245731e-05,4.0
11,1,-11,0,0,0.00087722645886,3.9253957472,0.1099999994,0.0,0.080530827765,3.8609219204,0.70393782336,0.00015305181522,0.080530827765,3.8609219204,0.70393782336,0.00015305181522,4.0
12,1,-12,0,0,0.0014255530795,3.9252477525,0.1099999994,0.0,0.080532869505,3.8607752603,0.70391668755,0.00024872789369,0.080532869505,3.8607752603,0.70391668755,0.00024872789369,4.0
13,1,-13,0,0,0.0019540517264,3.9250383629,0.1099999994,0.0,0.08053575868,3.8605677598,0.70388677862,0.00034095529716,0.08053575868,3.8605677598,0.70388677862,0.00034095529716,4.0
14,1,-14,0,0,0.0024594280879,3.9247768086,0.1099999994,0.0,0.080539368332,3.8603085668,0.70384941033,0.00042916160293,0.080539368332,3.8603085668,0.70384941033,0.00042916160293,4.0
15,1,-15,0,0,0.0029406357594,3.9244719897,0.1099999994,0.0,0.080543576056,3.8600065017,0.70380584925,0.0005131655635,0.080543576056,3.8600065017,0.70380584925,0.0005131655635,4.0
16,1,-16,0,0,0.0033981193013,3.9241316953,0.1099999994,0.0,0.080548274742,3.8596692842,0.70375720374,0.00059304531199,0.080548274742,3.8596692842,0.70375720374,0.00059304531199,4.0
17,1,-17,0,0,0.0038331537183,3.9237623818,0.1099999994,0.0,0.080553375613,3.8593033132,0.70370439237,0.00066902337972,0.080553375613,3.8593033132,0.70370439237,0.00066902337972,4.0
