,branch,PT,TY,LAB,V_plc,L2-NORM,R,c,ct,h,p,lambda1
1,5,1,0,0,0.019653714967,0.48452779007,0.31497129313,0.14326970555,0.26704350353,0.19181884515,0.081138967439,147.0
2,5,2,0,0,0.019653728949,0.48452768576,0.3149712125,0.14326970555,0.2670433981,0.19181884515,0.08113900268,147.002
3,5,3,0,0,0.019653728984,0.4845276855,0.31497121229,0.14326970555,0.26704339783,0.19181884515,0.081139002769,147.0035
4,5,4,0,0,0.019653729059,0.48452768494,0.31497121186,0.14326970555,0.26704339727,0.19181884515,0.081139002957,147.0065
5,5,5,0,0,0.019653729211,0.48452768381,0.31497121099,0.14326970555,0.26704339613,0.19181884515,0.081139003339,147.0125
6,5,6,0,0,0.01965372946,0.48452768195,0.31497120955,0.14326970555,0.26704339425,0.19181884515,0.081139003968,147.0225
7,5,7,0,0,0.019653729711,0.48452768008,0.3149712081,0.14326970555,0.26704339236,0.19181884515,0.0811390046,147.0325
8,5,8,0,0,0.01965372996,0.48452767822,0.31497120667,0.14326970555,0.26704339048,0.19181884515,0.081139005227,147.0425
9,5,9,0,0,0.019653730211,0.48452767635,0.31497120522,0.14326970555,0.26704338859,0.19181884515,0.08113900586,147.0525
10,5,10,0,0,0.01965373046,0.48452767449,0.31497120379,0.14326970555,0.26704338671,0.19181884515,0.081139006486,147.06250001
11,5,11,0,0,0.019653730712,0.48452767261,0.31497120233,0.14326970555,0.26704338481,0.19181884515,0.081139007123,147.07250001
12,5,12,0,0,0.019653730958,0.48452767078,0.31497120091,0.14326970555,0.26704338295,0.19181884515,0.081139007743,147.08250001
13,5,13,0,0,0.019653731211,0.48452766889,0.31497119945,0.14326970555,0.26704338105,0.19181884515,0.08113900838,147.09250001
14,5,14,0,0,0.019653731457,0.48452766705,0.31497119803,0.14326970555,0.26704337919,0.19181884515,0.081139009001,147.10250001
15,5,15,0,0,0.019653731706,0.48452766519,0.3149711966,0.14326970555,0.26704337731,0.19181884515,0.081139009629,147.11250001
16,5,16,0,0,0.019653731957,0.48452766333,0.31497119515,0.14326970555,0.26704337542,0.19181884515,0.08113901026,147.12250001
17,5,17,0,0,0.01965373221,0.48452766143,0.31497119369,0.14326970555,0.26704337351,0.19181884515,0.081139010899,147.13250001
18,5,18,0,0,0.019653732454,0.48452765962,0.31497119228,0.14326970555,0.26704337167,0.19181884515,0.081139011514,147.14250001
19,5,19,0,0,0.019653732706,0.48452765773,0.31497119083,0.14326970555,0.26704336977,0.19181884514,0.081139012149,147.15250001
20,5,20,0,0,0.019653732952,0.4845276559,0.31497118941,0.14326970555,0.26704336792,0.19181884514,0.081139012769,147.16250001
21,5,21,0,0,0.019653733203,0.48452765403,0.31497118797,0.14326970555,0.26704336603,0.19181884514,0.0811390134,147.17250002
22,5,22,0,0,0.019653733449,0.4845276522,0.31497118655,0.14326970555,0.26704336417,0.19181884514,0.081139014021,147.18250002
23,5,23,0,0,0.019653733698,0.48452765033,0.31497118511,0.14326970555,0.26704336229,0.19181884514,0.081139014649,147.19250002
24,5,24,0,0,0.019653733948,0.48452764847,0.31497118367,0.14326970555,0.26704336041,0.19181884514,0.08113901528,147.20250002
25,5,25,0,0,0.019653734197,0.48452764661,0.31497118223,0.14326970555,0.26704335853,0.19181884514,0.081139015908,147.21250002
26,5,26,0,0,0.019653734443,0.48452764478,0.31497118082,0.14326970555,0.26704335668,0.19181884514,0.081139016526,147.22250002
27,5,27,0,0,0.01965373469,0.48452764294,0.31497117939,0.14326970555,0.26704335481,0.19181884514,0.081139017149,147.23250002
28,5,28,0,0,0.019653734937,0.48452764109,0.31497117796,0.14326970555,0.26704335295,0.19181884514,0.081139017772,147.24250002
29,5,29,0,0,0.019653735187,0.48452763923,0.31497117653,0.14326970555,0.26704335107,0.19181884514,0.081139018401,147.25250002
30,5,30,0,0,0.019653735434,0.48452763739,0.3149711751,0.14326970555,0.26704334921,0.19181884514,0.081139019024,147.26250002
31,5,31,0,0,0.019653735679,0.48452763556,0.31497117369,0.14326970555,0.26704334736,0.19181884514,0.081139019642,147.27250002
32,5,32,0,0,0.019653735931,0.48452763368,0.31497117223,0.14326970555,0.26704334546,0.19181884514,0.081139020276,147.28250003
33,5,33,0,0,0.019653736176,0.48452763185,0.31497117082,0.14326970555,0.26704334361,0.19181884514,0.081139020893,147.29250003
34,5,34,0,0,0.019653736422,0.48452763002,0.3149711694,0.14326970555,0.26704334175,0.19181884514,0.081139021514,147.30250003
35,5,35,0,0,0.019653736669,0.48452762817,0.31497116798,0.14326970555,0.26704333989,0.19181884514,0.081139022137,147.31250003
36,5,36,0,0,0.019653736916,0.48452762633,0.31497116656,0.14326970555,0.26704333803,0.19181884514,0.081139022759,147.32250003
37,5,37,0,0,0.019653737163,0.48452762449,0.31497116513,0.14326970555,0.26704333617,0.19181884514,0.081139023381,147.33250003
38,5,38,0,0,0.019653737413,0.48452762263,0.31497116369,0.14326970555,0.26704333429,0.19181884514,0.081139024011,147.34250003
39,5,39,0,0,0.019653737654,0.48452762082,0.3149711623,0.14326970555,0.26704333247,0.19181884514,0.08113902462,147.35250003
40,5,40,0,0,0.019653737903,0.48452761897,0.31497116086,0.14326970555,0.26704333059,0.19181884514,0.081139025246,147.36250003
41,5,41,0,0,0.019653738146,0.48452761715,0.31497115946,0.14326970555,0.26704332876,0.19181884514,0.08113902586,147.37250003
42,5,42,0,0,0.019653738394,0.4845276153,0.31497115803,0.14326970555,0.26704332688,0.19181884514,0.081139026485,147.38250003
43,5,43,0,0,0.01965373864,0.48452761347,0.31497115661,0.14326970555,0.26704332503,0.19181884514,0.081139027104,147.39250004
44,5,44,0,0,0.019653738888,0.48452761162,0.31497115518,0.14326970555,0.26704332316,0.19181884514,0.08113902773,147.40250004
45,5,45,0,0,0.019653739135,0.48452760978,0.31497115376,0.14326970555,0.2670433213,0.19181884514,0.081139028352,147.41250004
46,5,46,0,0,0.01965373938,0.48452760795,0.31497115235,0.14326970555,0.26704331945,0.19181884514,0.081139028969,147.42250004
47,5,47,0,0,0.019653739623,0.48452760614,0.31497115094,0.14326970555,0.26704331762,0.19181884514,0.081139029582,147.43250004
48,5,48,0,0,0.019653739871,0.48452760428,0.31497114951,0.14326970555,0.26704331575,0.19181884514,0.081139030208,147.44250004
